"title","title_yomi","author","url","publisher","pub_year","isbn"
"バカロレアの哲学 = Philosophie au baccalauréat : 「思考の型」で自ら考え、書く","バカロレア ノ テツガク : シコウ ノ カタ デ ミズカラ カンガエ カク","坂本尚志 著","http://iss.ndl.go.jp/books/R100000002-I031921143-00","日本実業出版社",2022,9784534059031
"グレート・ギャツビー","グレート ギャツビー","スコット・フィッツジェラルド 著; 村上春樹 訳","http://iss.ndl.go.jp/books/R100000002-I000008394934-00","中央公論新社",2006,9784124035049
"グレート・ギャツビー","グレート ギャツビー","スコット・フィッツジェラルド 著; 村上春樹 訳","http://iss.ndl.go.jp/books/R100000002-I000008394934-00","中央公論新社",2006,9784124035049
"深夜特急","シンヤ トッキュウ","沢木耕太郎 著","http://iss.ndl.go.jp/books/R100000002-I030404375-00","新潮社",2020,9784101235288
"深夜特急","シンヤ トッキュウ","沢木耕太郎 著","http://iss.ndl.go.jp/books/R100000002-I030404375-00","新潮社",2020,9784101235288
"作品で綴る近代文学史","サクヒン デ ツズル キンダイ ブンガクシ","山田有策, 畑有三, 長野隆 編","http://iss.ndl.go.jp/books/R100000002-I028798348-00","鼎書房",2018,9784907282370
"書誌学のすすめ : 中国の愛書文化に学ぶ","ショシガク ノ ススメ : チュウゴク ノ アイショ ブンカ ニ マナブ","高橋智 著","http://iss.ndl.go.jp/books/R100000002-I000011018564-00","東方書店",2010,9784497210142
"海を渡ってきた漢籍 : 江戸の書誌学入門","ウミ オ ワタッテ キタ カンセキ : エド ノ ショシガク ニュウモン","髙橋智 著","http://iss.ndl.go.jp/books/R100000002-I027332188-00","日外アソシエーツ//紀伊國屋書店",2016,9784816926105
"猫を抱いて象と泳ぐ","ネコ オ ダイテ ゾウ ト オヨグ","小川洋子 著","http://iss.ndl.go.jp/books/R100000002-I000011223687-00","文藝春秋",2011,9784167557034
"世界の神話","セカイ ノ シンワ","沖田瑞穂 著","http://iss.ndl.go.jp/books/R100000002-I029807264-00","岩波書店",2019,9784005009022
"スキルアップ!情報検索 : 基本と実践","スキル アップ ジョウホウ ケンサク : キホン ト ジッセン","中島玲子, 安形輝, 宮田洋輔 著","http://iss.ndl.go.jp/books/R100000002-I031209606-00","日外アソシエーツ",2021,9784816928628
"スキルアップ!情報検索 : 基本と実践","スキル アップ ジョウホウ ケンサク : キホン ト ジッセン","中島玲子, 安形輝, 宮田洋輔 著","http://iss.ndl.go.jp/books/R100000002-I031209606-00","日外アソシエーツ",2021,9784816928628
"パリでメシを食う。","パリ デ メシ オ クウ","川内有緒 [著]","http://iss.ndl.go.jp/books/R100000002-I000011087692-00","幻冬舎",2010,9784344415034
"魔道祖師","マドウ ソシ","墨香銅臭 著; 鄭穎馨 訳","http://iss.ndl.go.jp/books/R100000002-I031447528-00","フロンティアワークス",2021,9784866574134
"TOEIC L&R TESTへのニューアプローチ","トーイック エル アンド アール テスト エノ ニュー アプローチ","大須賀直子, 塚野壽一, 山本厚子, Robert Van Benthuysen 著","http://iss.ndl.go.jp/books/R100000002-I029548375-00","成美堂",2019,9784791971893
"TOEIC L&R TESTへのニューアプローチ","トーイック エル アンド アール テスト エノ ニュー アプローチ","大須賀直子, 塚野壽一, 山本厚子, Robert Van Benthuysen 著","http://iss.ndl.go.jp/books/R100000002-I029548375-00","成美堂",2019,9784791971893
"TOEIC L&R TESTへのニューアプローチ","トーイック エル アンド アール テスト エノ ニュー アプローチ","大須賀直子, 塚野壽一, 山本厚子, Robert Van Benthuysen 著","http://iss.ndl.go.jp/books/R100000002-I029548375-00","成美堂",2019,9784791971893
"出ることだけ!中国語検定4級合格一直線","デル トコ ダケ チュウゴクゴ ケンテイ ヨンキュウ ゴウカク イッチョクセン","長澤文子, 盧尤 著","http://iss.ndl.go.jp/books/R100000002-I024257036-00","アスク出版",2013,9784872178364
"出ることだけ!中国語検定4級合格一直線","デル トコ ダケ チュウゴクゴ ケンテイ ヨンキュウ ゴウカク イッチョクセン","長澤文子, 盧尤 著","http://iss.ndl.go.jp/books/R100000002-I024257036-00","アスク出版",2013,9784872178364
"グリムの森へ","グリム ノ モリ エ","グリム [原著]; 髙村薫, 松本侑子, 阿川佐和子, 大庭みな子, 津島佑子, 中沢けい, 木崎さと子, 皆川博子 著","http://iss.ndl.go.jp/books/R100000002-I026159298-00","小学館",2015,9784094061413
"饗宴 : ソクラテス最後の事件","キョウエン : ソクラテス サイゴ ノ ジケン","柳広司 [著]","http://iss.ndl.go.jp/books/R100000002-I029994245-00","KADOKAWA",2019,9784041086360
"夜は短し歩けよ乙女","ヨル ワ ミジカシ アルケヨ オトメ","森見登美彦 [著]","http://iss.ndl.go.jp/books/R100000002-I000009993868-00","角川書店//角川グループパブリッシング",2008,9784043878024
"夜は短し歩けよ乙女","ヨル ワ ミジカシ アルケヨ オトメ","森見登美彦 [著]","http://iss.ndl.go.jp/books/R100000002-I000009993868-00","角川書店//角川グループパブリッシング",2008,9784043878024
"看守の流儀","カンシュ ノ リュウギ","城山真一 著","http://iss.ndl.go.jp/books/R100000002-I031886893-00","宝島社",2022,9784299025265
"分類法キイノート","ブンルイホウ キイノート","宮沢厚雄 著","http://iss.ndl.go.jp/books/R100000002-I030424207-00","樹村房",2020,9784883673438
"分類法キイノート","ブンルイホウ キイノート","宮沢厚雄 著","http://iss.ndl.go.jp/books/R100000002-I030424207-00","樹村房",2020,9784883673438
"魔王","マオウ","伊坂幸太郎 [著]","http://iss.ndl.go.jp/books/R100000002-I000009544385-00","講談社",2008,9784062761420
"図書館制度・経営論","トショカン セイド ケイエイロン","糸賀雅児, 薬袋秀樹 編集; 市川恵理, 内野安彦, 荻原幸子, 桑原芳哉, 高山正也, 鑓水三千男 共著","http://iss.ndl.go.jp/books/R100000002-I025104820-00","樹村房",2013,9784883672028
"図書館制度・経営論","トショカン セイド ケイエイロン","糸賀雅児, 薬袋秀樹 編集; 市川恵理, 内野安彦, 荻原幸子, 桑原芳哉, 高山正也, 鑓水三千男 共著","http://iss.ndl.go.jp/books/R100000002-I025104820-00","樹村房",2013,9784883672028
"琉球の恋歌 : 「恩納なべ」と「よしや思鶴」","リュウキュウ ノ コイウタ : オンナ ナベ ト ヨシヤ ウミツル","福寛美 著","http://iss.ndl.go.jp/books/R100000002-I000010905787-00","新典社",2010,9784787961471
"図書館情報学基礎資料","トショカン ジョウホウガク キソ シリョウ","今まど子, 小山憲司 編著","http://iss.ndl.go.jp/books/R100000002-I030292628-00","樹村房",2020,9784883673339
"図書館情報学基礎資料","トショカン ジョウホウガク キソ シリョウ","今まど子, 小山憲司 編著","http://iss.ndl.go.jp/books/R100000002-I030292628-00","樹村房",2020,9784883673339
"AB型自分の説明書","ABガタ ジブン ノ セツメイショ","Jamais Jamais 著","http://iss.ndl.go.jp/books/R100000002-I000011106122-00","文芸社",2011,9784286101729
"質的データの分析","シツテキ データ ノ ブンセキ","グラハム・R・ギブズ 著; 砂上史子, 一柳智紀, 一柳梢 訳","http://iss.ndl.go.jp/books/R100000002-I028700810-00","新曜社",2017,9784788515512
"深夜特急","シンヤ トッキュウ","沢木耕太郎 著","http://iss.ndl.go.jp/books/R100000002-I000002330817-00","新潮社",1994,9784101235097
"ビタミンF","ビタミン F","重松清 著","http://iss.ndl.go.jp/books/R100000002-I000004165684-00","新潮社",2003,9784101349152
"正体","ショウタイ","染井為人 著","http://iss.ndl.go.jp/books/R100000002-I031868062-00","光文社",2022,9784334792947
"正体","ショウタイ","染井為人 著","http://iss.ndl.go.jp/books/R100000002-I031868062-00","光文社",2022,9784334792947
"正体","ショウタイ","染井為人 著","http://iss.ndl.go.jp/books/R100000002-I031868062-00","光文社",2022,9784334792947
"正体","ショウタイ","染井為人 著","http://iss.ndl.go.jp/books/R100000002-I031868062-00","光文社",2022,9784334792947
"正体","ショウタイ","染井為人 著","http://iss.ndl.go.jp/books/R100000002-I031868062-00","光文社",2022,9784334792947
"TOEIC L&R TEST出る単特急金のフレーズ","トーイック エル アンド アール テスト デルタン トッキュウ キン ノ フレーズ","TEX加藤 著","http://iss.ndl.go.jp/books/R100000002-I027796902-00","朝日新聞出版",2017,9784023315686
"TOEIC L&R TEST出る単特急金のフレーズ","トーイック エル アンド アール テスト デルタン トッキュウ キン ノ フレーズ","TEX加藤 著","http://iss.ndl.go.jp/books/R100000002-I027796902-00","朝日新聞出版",2017,9784023315686
"精講漢文","セイコウ カンブン","前野直彬 著","http://iss.ndl.go.jp/books/R100000002-I029120167-00","筑摩書房",2018,9784480098689
"英語のハノン : スピーキングのためのやりなおし英文法スーパードリル","エイゴ ノ ハノン : スピーキング ノ タメ ノ ヤリナオシ エイブンポウ スーパー ドリル","横山雅彦, 中村佐知子 著","http://iss.ndl.go.jp/books/R100000002-I031353278-00","筑摩書房",2021,9784480815828
"英語のハノン : スピーキングのためのやりなおし英文法スーパードリル","エイゴ ノ ハノン : スピーキング ノ タメ ノ ヤリナオシ エイブンポウ スーパー ドリル","横山雅彦, 中村佐知子 著","http://iss.ndl.go.jp/books/R100000002-I031353278-00","筑摩書房",2021,9784480815828
"おまえうまそうだな","オマエ ウマソウダナ","宮西達也 作絵","http://iss.ndl.go.jp/books/R100000002-I000004074804-00","ポプラ社",2003,9784591076439
"New game!","ニュー ゲーム!","得能正太郎 著","http://iss.ndl.go.jp/books/R100000002-I025318825-00","芳文社",2014,9784832244146
"メッセンジャー : 緑の森の使者","メッセンジャー : ミドリ ノ モリ ノ シシャ","ロイス・ローリー [著]; 島津やよい 訳","http://iss.ndl.go.jp/books/R100000002-I025741509-00","新評論",2014,9784794809773
"アマチュア無線教科書 : 第四級アマチュア無線技士用 : 無線従事者養成課程用教科書 : 法規・無線工学 : 標準教科書","アマチュア ムセン キョウカショ : ダイヨンキュウ アマチュア ムセン ギシヨウ : ムセン ジュウジシャ ヨウセイ カテイヨウ キョウカショ : ホウキ ムセン コウガク : ヒョウジュン キョウカショ","日本アマチュア無線振興協会 著","http://iss.ndl.go.jp/books/R100000002-I023543629-00","日本アマチュア無線振興協会//CQ出版",2012,9784789813686
"情報検索演習","ジョウホウ ケンサク エンシュウ","原田智子 編; 原田智子, 江草由佳, 小山憲司, 澤井清 共著","http://iss.ndl.go.jp/books/R100000002-I000008369884-00","樹村房",2006,9784883671311
"情報検索演習","ジョウホウ ケンサク エンシュウ","原田智子 編; 原田智子, 江草由佳, 小山憲司, 澤井清 共著","http://iss.ndl.go.jp/books/R100000002-I000008369884-00","樹村房",2006,9784883671311
"月の影影の海","ツキ ノ カゲ カゲ ノ ウミ","小野不由美 著","http://iss.ndl.go.jp/books/R100000002-I023737355-00","新潮社",2012,9784101240527
"検索スキルをみがく : 検索技術者検定3級公式テキスト","ケンサク スキル オ ミガク : ケンサク ギジュツシャ ケンテイ サンキュウ コウシキ テキスト","原田智子 編著; 情報科学技術協会 監修; 吉井隆明, 森美由紀 著","http://iss.ndl.go.jp/books/R100000002-I030429562-00","樹村房",2020,9784883673407
"情報サービス演習","ジョウホウ サービス エンシュウ","原田智子 編集; 江草由佳, 小山憲司 共著","http://iss.ndl.go.jp/books/R100000002-I023772750-00","樹村房",2012,9784883672073
"深掘り!中学数学 : 教科書に書かれていない数学の話","フカボリ チュウガク スウガク : キョウカショ ニ カカレテ イナイ スウガク ノ ハナシ","坂間千秋 著","http://iss.ndl.go.jp/books/R100000002-I031411596-00","岩波書店",2021,9784005009343
"夢見る帝国図書館","ユメミル テイコク トショカン","中島京子 著||ナカジマ, キョウコ","http://iss.ndl.go.jp/books/R100000002-I029651188-00","文藝春秋",2019,9784163910208
"情報資源組織論","ジョウホウ シゲン ソシキロン","田窪直規 編著; 飯野勝則, 小林康隆, 原田智子, 山﨑久道, 渡邊隆弘 著","http://iss.ndl.go.jp/books/R100000002-I030348336-00","樹村房",2020,9784883673391
"ブラウザだけで学べるシゴトで役立つやさしいPython入門","ブラウザ ダケ デ マナベル シゴト デ ヤクダツ ヤサシイ パイソン ニュウモン","掌田津耶乃 著","http://iss.ndl.go.jp/books/R100000002-I030631493-00","マイナビ出版",2020,9784839974183
"図書館と情報技術 : 情報検索基礎能力試験の過去問題と解説収録","トショカン ト ジョウホウ ギジュツ : ジョウホウ ケンサク キソ ノウリョク シケン ノ カコ モンダイ ト カイセツ シュウロク","岡紀子, 田中邦英 著","http://iss.ndl.go.jp/books/R100000002-I024356997-00","樹村房",2013,9784883672240
"質的データ分析法 : 原理・方法・実践","シツテキ データ ブンセキホウ : ゲンリ ホウホウ ジッセン","佐藤郁哉 著","http://iss.ndl.go.jp/books/R100000002-I000009320907-00","新曜社",2008,9784788510951
"グラタン・ドリア = GRATIN & DORIA : 絶対失敗しない王道レシピからクイックオーブン焼きまで","グラタン ドリア : ゼッタイ シッパイ シナイ オウドウ レシピ カラ クイック オーブンヤキ マデ","ワタナベマキ 著","http://iss.ndl.go.jp/books/R100000002-I026829032-00","誠文堂新光社",2015,9784416715659
